Random waveform, supplied seed
Total number of intervals = 80 (6927, 52892, 98921, 61129, 40613, 53226, 38560, 103465, 104758, 94759, 37799, 8296, 69443, 12517, 43591, 20430, 93758, 10485, 16518, 83230, 5484, 55611, 20774, 96726, 32442, 73039, 74055, 51197, 59442, 35654, 78747, 42212, 52488, 36950, 16762, 79473, 61431, 87172, 108181, 80515, 37149, 13444, 72057, 70041, 90162, 52082, 24258, 72013, 58012, 45398, 50177, 34504, 66010, 73937, 55020, 53235, 97743, 5419, 14764, 7451, 48208, 16149, 78989, 18886, 75954, 44409, 16431, 85707, 58253, 103867, 21604, 90401, 84467, 99700, 32052, 18173, 67789, 51929, 83850, 18614)
Average QPS expected = 53849
Timestamp start: 1778887712485
Timestamp end: 1778888912773

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      265.7   130.2    86.8   152.7   168.6   259.1   293.4   310.6   321.8   336.8   355.3   386.7   469.6  1515.0  6816.2  18168.2    18173
read      255.7   130.6    68.9   124.8   139.0   234.9   293.8   322.1   341.3   363.4   391.3   432.9   540.2  1088.8  4272.2  67838.1    67789
read      261.1   108.5    74.4   129.7   144.7   250.1   305.0   330.3   346.9   365.9   389.8   425.5   499.2   661.1  2406.0  51923.1    51929
read      247.2   105.8    68.9   123.4   137.2   226.5   282.1   311.6   331.6   354.1   382.2   426.4   528.6   816.4  1777.4  83839.7    83850
read      264.5   107.0    80.4   152.6   168.7   259.2   293.5   310.6   321.7   336.5   354.5   384.5   459.6  1375.4  3921.9  18643.1    18614

Total QPS = 53844.1 (64612976 / 1200.0s)

Total connections = 64
Misses = 0 (0.0%)
Skipped TXs = 0 (0.0%)

RX 15959404825 bytes :   12.7 MB/s
TX          0 bytes :    0.0 MB/s
Warning! Detected max cpu usage > 95%
CPU Usage Stats (avg/min/max): 99.84%,3.50%,100.00%
